tipo_inmueble,valor_venta,area,nro_cuartos,nro_banos,nro_garajes,zona,barrio,nombre_comun_barrio
Casa,1200000000,276.0,3,4,2.0,Noroccidente,SAN JOSE DE BAVARIA,SAN JOSE DE BAVARIA
Apartamento,1200000000,200.0,4,4,2.0,Norte,SAN PATRICIO,SANTA BARBARA OCCIDENTAL
Apartamento,690000000,150.0,3,3,3.0,Norte,LA CAROLINA,LA CAROLINA
Apartamento,990000000,126.0,2,3,2.0,Chapinero,EMAUS,LOS ROSALES
Apartamento,1600000000,218.0,3,4,2.0,Norte,EL NOGAL,EL NOGAL
Apartamento,480000000,0.0,1,2,1.0,Occidental,GALAN,Chapinero
Casa,960000000,380.0,5,0,0.0,Noroccidente,POTOSI,San Nicolas
Apartamento,850000000,125.0,2,3,2.0,Norte,LA CAROLINA,LA CAROLINA
Apartamento,415000000,106.0,3,3,1.0,Norte,LOS CEDRITOS,Los Cedros
Casa,660000000,164.0,3,4,2.0,Noroccidente,EL BATAN,Batan
Apartamento,275000000,66.0,3,2,1.0,Occidental,EL TINTAL A.S.D.,HAYUELOS
Apartamento,265000000,52.56,3,2,1.0,Occidental,SAN FERNANDO OCCIDENTAL,San Fernando
Casa,300000000000,540.0,4,5,3.0,Noroccidente,SAN JOSE DEL PRADO,SAN JOSE DE BAVARIA
Apartamento,346400000,66.26,3,2,1.0,Occidental,EL DORADO,VILLAS DE GRANADA
Casa,1850000000,642.0,5,5,4.0,Noroccidente,NIZA SUBA,SOTILEZA
Casa,830000000,300.0,4,3,3.0,Norte,CEDRITOS,LISBOA
Apartamento,1500000000,0.0,3,3,2.0,Norte,MONTEARROYO-USAQUÉN,Montearroyo-Usaquén
Apartamento,1150000000,153.0,3,3,2.0,Norte,CERROS DE LOS ALPES,RESERVA DE LA SIERRA
Casa,1100000000,380.0,1,4,3.0,Occidental,EL SALITRE,El Greco
Casa,1450000000,279.0,4,0,3.0,Noroccidente,CASA BLANCA SUBA,DEL MONTE
Apartamento,250000000,38.0,1,1,1.0,Norte,CHICO,"chico, clinica de la mujer"
Casa,1550000000,520.0,1,0,4.0,Chapinero,TEUSAQUILLO,Teusaquillo
Casa,250000000,109.0,4,3,0.0,Occidental,VILLAS DE GRANADA I,VILLAS DE GRANADA
Casa,1400000000,267.0,4,5+,3.0,,ENCENILLOS DE SINDAMANOY,ENCENILLOS DE SINDAMANOY
Apartamento,323000000,60.0,2,2,1.0,Noroccidente,PRADO VERANIEGO NORTE,NUEVA COLINA
Apartamento,1350000000,0.0,3,2,2.0,Norte,CERROS DE LOS ALPES,Santa Barbara
Apartamento,559999555,82.54,2,2,2.0,Norte,RINCON DEL CHICO,SANTA PAULA
Casa,550000000,156.0,4,3,2.0,Occidental,PALOBLANCO,LA EUROPA
Apartamento,160000000,39.0,2,1,0.0,Occidental,CIUDAD TECHO,PIO XII
Casa,700000000,424.0,5,5,0.0,Sur,AUTOPISTA MUZU 0RIENTAL,LOS SAUCES
Apartamento,680000000,134.0,2,3,2.0,Norte,MOLINOS NORTE,SAN PATRICIO
Apartamento,500000000,0.0,3,3,2.0,Norte,CANAPRO,Alameda
Casa,1500000000,440.0,4,5,3.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,590000000,69.0,3,2,1.0,Occidental,LA ESPERANZA NORTE,LA ESPERANZA NORTE
Apartamento,650000000,120.0,3,3,2.0,Norte,CHICO NORTE II,EL CHICO
Casa,196000000,58.0,4,2,1.0,Noroccidente,MIRANDELA VILLAS DEL NORTE,MIRANDELA VILLAS DEL NORTE
Casa,1600000000,355.0,4,3,3.0,,CEDRITOS,Cedritos
Apartamento,950000000,138.0,2,3,2.0,Norte,BELLAVISTA,BELLAVISTA ROSALES
Casa,1990000000,540.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,890000000,114.0,3,3,2.0,Norte,EL RETIRO,La Cabrera
Apartamento,430000000,92.0,3,2,0.0,Chapinero,CATALUNA,Chapinero Alto
Apartamento,350000000,71.0,2,2,1.0,Norte,LA PORCIUNCULA,CEDRITOS
Apartamento,460000000,69.0,2,2,1.0,Norte,SAN PATRICIO,SANTA BARBARA OCCIDENTAL
Apartamento,230000000,65.0,3,2,1.0,Occidental,LA SOLEDAD NORTE,TABORA
Apartamento,2700000000,328.0,3,4,2.0,Norte,EL NOGAL,EL NOGAL
Casa,800000000,188.0,4,4,2.0,Guaymaral,CASA BLANCA,CAMINO DE LOS ARRAYANES
Casa,890000000,208.0,3,3,2.0,Noroccidente,NIZA SUBA,NIZA SUBA
Apartamento,760000000,126.0,3,4,2.0,Norte,SAN PATRICIO,SAN PATRICIO
Casa,800000000,127.0,1,0,0.0,Chapinero,ESTRELLA,Teusaquillo
Casa,1350000000,416.29,5,3,4.0,Noroccidente,NIZA NORTE,NIZA NORTE
